Date,prices
2022-08-17,50.62
2022-08-18,51.15
2022-08-19,49.35
2022-08-22,47.59
2022-08-23,49.42
2022-08-24,47.13
2022-08-25,47.83
2022-08-26,46.1
2022-08-29,45.76
2022-08-30,46.16
2022-08-31,45.42
2022-09-01,42.45
2022-09-02,41.35
2022-09-06,40.85
2022-09-07,42.66
2022-09-08,43.23
2022-09-09,45.21
2022-09-12,45.66
2022-09-13,44.7
2022-09-14,44.9
2022-09-15,43.83
2022-09-16,41.99
2022-09-19,42.89
2022-09-20,41.75
2022-09-21,42.01
2022-09-22,40.36
2022-09-23,40.04
2022-09-26,39.19
2022-09-27,40.33
2022-09-28,42.29
2022-09-29,41.65
2022-09-30,41.66
2022-10-03,43.81
2022-10-04,45.88
2022-10-05,46.72
2022-10-06,48.62
2022-10-07,44.4
2022-10-10,43.64
2022-10-11,43.22
2022-10-12,43.77
2022-10-13,43.14
2022-10-14,41.87
2022-10-17,43.81
2022-10-18,45.12
2022-10-19,44.35
2022-10-20,44.94
2022-10-21,44.87
2022-10-24,44.45
2022-10-25,46.68
2022-10-26,45.68
2022-10-27,46.11
2022-10-28,45.18
2022-10-31,44.53
2022-11-01,43.5
2022-11-02,30.81
2022-11-03,31.25
2022-11-04,29.28
2022-11-07,28.05
2022-11-08,29.45
2022-11-09,28.07
2022-11-10,30.94
2022-11-11,32.56
2022-11-14,31.34
2022-11-15,31.69
2022-11-16,27.17
2022-11-17,26.17
2022-11-18,26.61
2022-11-21,27.51
2022-11-22,27.36
2022-11-23,28.07
2022-11-25,27.8
2022-11-28,27.23
2022-11-29,26.53
2022-11-30,28.6
2022-12-01,28.91
2022-12-02,29.27
2022-12-05,28.7
2022-12-06,27.97
2022-12-07,28.33
2022-12-08,28.5
2022-12-09,29.04
2022-12-12,30.19
2022-12-13,31.07
2022-12-14,31.36
2022-12-15,29.94
2022-12-16,29.8
2022-12-19,27.94
2022-12-20,28.73
2022-12-21,29.31
2022-12-22,28.95
2022-12-23,28.8
2022-12-27,28.55
2022-12-28,28.43
2022-12-29,30.15
2022-12-30,30.11
2023-01-03,29.44
2023-01-04,27.77
2023-01-05,25.93
2023-01-06,25.11
2023-01-09,25.98
2023-01-10,25.47
2023-01-11,26.43
2023-01-12,25.73
2023-01-13,26.01
2023-01-17,26.39
2023-01-18,26.26
2023-01-19,25.63
2023-01-20,25.89
2023-01-23,27.0
2023-01-24,26.73
2023-01-25,26.19
2023-01-26,27.5
2023-01-27,27.61
2023-01-30,27.39
2023-01-31,28.23
2023-02-01,28.395
2023-02-02,30.12
2023-02-03,29.07
2023-02-06,28.72
2023-02-07,30.24
2023-02-08,28.05
2023-02-09,27.57
2023-02-10,25.8
2023-02-13,26.61
2023-02-14,26.87
2023-02-15,28.29
2023-02-16,26.4
2023-02-17,25.71
2023-02-21,25.52
2023-02-22,25.95
2023-02-23,26.02
2023-02-24,25.19
2023-02-27,24.66
2023-02-28,24.17
2023-03-01,24.35
2023-03-02,24.78
2023-03-03,25.85
2023-03-06,25.57
2023-03-07,25.01
2023-03-08,24.62
2023-03-09,24.18
2023-03-10,21.85
2023-03-13,21.42
2023-03-14,21.36
2023-03-15,22.22
2023-03-16,22.94
2023-03-17,23.76
2023-03-20,23.52
2023-03-21,24.07
2023-03-22,23.49
2023-03-23,23.34
2023-03-24,23.18
2023-03-27,23.07
2023-03-28,23.16
2023-03-29,24.14
2023-03-30,24.42
2023-03-31,24.71
2023-04-03,24.56
2023-04-04,24.03
2023-04-05,22.99
2023-04-06,23.11
2023-04-10,23.08
2023-04-11,23.04
2023-04-12,22.52
2023-04-13,22.6
2023-04-14,22.15
2023-04-17,22.41
2023-04-18,21.81
2023-04-19,21.92
2023-04-20,21.46
2023-04-21,21.99
